id_message,id_fil,appareil,horodatage,sens,canal,nom_contact,alias_contact,role_contact,identifiant_contact,objet_email,apercu_message,indice_lieu,pieces_jointes,types_pj,score_risque,mots_cles
msg_7hiawefuie2t,fil_vuccial4w5,iPhone4_Gustavo_Fring,2010-01-05 10:13:05,envoyé,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia9692@madrigalcorp.com,,Itinéraire Albuquerque via Aérogare fret 5 ; éviter le poste chauffeur.,"Blanchisserie industrielle, Hobbs",non,,36,"bleu,chauffeur,test,virement"
msg_9s76fhxvqewl,fil_wrivhgfe51,iPhone4_Gustavo_Fring,2010-01-05 10:43:01,envoyé,SMS,Hector Salamanca,Hector,rival,+1-505-4330-2034,,Encaisse 48 à 64 ; partage 46 / 78.,"Entrepôt B centre-ville, Los Lunas",non,,34,"douanes,lavage,pourcentage"
msg_bps7e23dmpt0,fil_68ufw8tnbe,iPhone4_Gustavo_Fring,2010-01-05 15:37:02,reçu,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5713-7511,,Problème de ventilation au labo ; apporte Dépôt de la ferme avicole filtres avant Lavandería Brillante.,"Aérogare fret 5, Hobbs",non,,32,"azul,expédition,virement"
msg_v2t8eporyzq7,fil_zpj5qhalq2,iPhone4_Gustavo_Fring,2010-01-06 11:47:52,reçu,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8852-1672,,Le camion part de 35 ; Los Pollos sur Central Ave accompagne.,"Quai de chargement Madrigal, Santa Fe",non,,53,"blanchiment,douanes,expédition"
msg_uwf0nmwjvmhz,fil_7wfre61q8q,iPhone4_Gustavo_Fring,2010-01-06 20:13:36,reçu,SMS,Comptable société-écran,Comptable,finance,acct1219@phoenixholding.biz,,Utilise le Désert – Borne 23 et détruis l'ancien.,"Entrepôt B centre-ville, Bernalillo",non,,36,"azul,entrepôt,lavage,risque"
msg_uhwh7j6repoa,fil_p035n8i2zs,iPhone4_Gustavo_Fring,2010-01-07 17:22:47,envoyé,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8851-4863,,Rendez-vous au bureau arrière de 44. Dis que tu viens de 61.,"Désert – Borne 23, Bernalillo",non,,37,"camion,compte,lot"
msg_5kor8mnb9k6i,fil_iibe5cowto,iPhone4_Gustavo_Fring,2010-01-07 18:14:57,reçu,SMS,Saul Goodman,Saul,avocat,+1-505-9296-9678,,Retard à Annexe chimie universitaire ; 36 a vu Santa Fe près de Bernalillo.,"Los Pollos sur Central Ave, Albuquerque",non,,34,"Heisenberg,pourcentage"
msg_38d4wrgx1t8x,fil_1ua63oacw5,iPhone4_Gustavo_Fring,2010-01-07 19:05:39,envoyé,SMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3379-1838,,Problème de ventilation au labo ; apporte 66 filtres avant Santa Fe.,"Blanchisserie industrielle, Albuquerque",non,,35,"passeur,risque"
msg_kmtdkiq9lbz1,fil_egcod3fowq,iPhone4_Gustavo_Fring,2010-01-08 00:07:46,brouillon,SMS,Marco Salamanca,Marco,sicario,+52-55-6284-7524,,Rendez-vous au bureau arrière de 37. Dis que tu viens de Rio Rancho.,"Aérogare fret 5, Rio Rancho",non,,51,"dépôt,laboratoire,pureté"
msg_ndzw8nlu99jc,fil_kw8h7xx677,iPhone4_Gustavo_Fring,2010-01-08 04:06:14,envoyé,SMS,Marco Salamanca,Marco,sicario,+52-55-6671-4667,,Le camion part de 72 ; test accompagne.,"Blanchisserie industrielle, Albuquerque",non,,42,"dépôt,liquide,test"
msg_c1c9jemndjgb,fil_bugm9yk7w0,iPhone4_Gustavo_Fring,2010-01-08 20:14:24,envoyé,SMS,Mike Ehrmantraut,Mike,exécuteur,+1-505-2170-0956,,Problème de ventilation au labo ; apporte nettoyage filtres avant Aérogare fret 5.,"Dépôt de la ferme avicole, Hobbs",non,,53,"azul,caméras,nettoyage,pureté"
msg_3bn816v0gjkz,fil_bak7qrlots,iPhone4_Gustavo_Fring,2010-01-09 01:08:21,envoyé,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops7567@lospolloshermanos.com,,Problème de ventilation au labo ; apporte 70 filtres avant Désert – Borne 23.,"Entrepôt B centre-ville, Los Lunas",non,,34,"bleu,douanes,détruire,pourcentage"
msg_i951p71qkkbm,fil_c8h6s599ie,iPhone4_Gustavo_Fring,2010-01-09 02:00:02,brouillon,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8316-2493,,Déplace le Annexe chimie universitaire vers Santa Fe avant colis.,"Annexe chimie universitaire, Bernalillo",non,,47,"bleu,colis,test"
msg_6msjgtukjy2r,fil_zwefefrg4m,iPhone4_Gustavo_Fring,2010-01-09 15:54:50,envoyé,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7690-2462,,Utilise le 75 et détruis l'ancien.,"Entrepôt B centre-ville, Hobbs",non,,36,"Los Pollos,douanes,dépôt"
msg_8i1dgxqo6hv4,fil_9zmiri9dv9,iPhone4_Gustavo_Fring,2010-01-10 02:18:25,reçu,SMS,Peter Schuler,Schuler,cadre_madrigal,peter8578@madrigalcorp.com,,Confirme 46 à entrepôt près de filature.,"Annexe chimie universitaire, Albuquerque",non,,38,"douanes,entrepôt,filature"
msg_ko2fri7am8zi,fil_0sddbko86t,iPhone4_Gustavo_Fring,2010-01-10 09:24:42,envoyé,SMS,Don Eladio Vuente,Eladio,chef_du_cartel,+52-33-3834-5266,,Nouveau Albuquerque prêt ; distribution attend 87% de pureté.,"Entrepôt B centre-ville, Albuquerque",non,,61,"distribution,virement"
msg_b781o1aaip7l,fil_e5i6swuom5,iPhone4_Gustavo_Fring,2010-01-10 10:37:23,reçu,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8519-4424,,Confirme Dépôt de la ferme avicole à Blanchisserie industrielle près de Las Cruces.,"Lavandería Brillante, Rio Rancho",non,,41,"brûleur,cuisson,distribution,nettoyage"
msg_k547kryqxpfh,fil_xded9am3df,iPhone4_Gustavo_Fring,2010-01-10 10:41:13,reçu,SMS,Gale Boetticher,Gale,chimiste,gale3479@lavanderialabs.org,,Confirme Los Pollos sur Central Ave à Lavandería Brillante près de Quai de chargement Madrigal.,"Blanchisserie industrielle, Las Cruces",non,,35,"bleu,compte"
msg_qfztl4779cnq,fil_j06es85qdq,iPhone4_Gustavo_Fring,2010-01-10 17:11:40,envoyé,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7943-3841,,Utilise le 42 et détruis l'ancien.,"Aérogare fret 5, Rio Rancho",non,,34,"bleu,détruire,lot,transfert"
msg_bv3hmlm25hek,fil_9ynzszkfps,iPhone4_Gustavo_Fring,2010-01-10 17:20:02,envoyé,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5681-3987,,Encaisse colis à Dépôt de la ferme avicole ; partage 56 / colis.,"Quai de chargement Madrigal, Las Cruces",non,,30,"colis,nettoyage"
msg_1nue1yvaffex,fil_c8ow2tuik4,iPhone4_Gustavo_Fring,2010-01-10 21:35:46,reçu,SMS,Marco Salamanca,Marco,sicario,+52-55-6227-5416,,Utilise le 60 et détruis l'ancien.,"Blanchisserie industrielle, Santa Fe",non,,44,"Heisenberg,azul,produit,responsable"
msg_krtl8vvzknjb,fil_suq7lf1omz,iPhone4_Gustavo_Fring,2010-01-11 00:29:59,reçu,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops6154@lospolloshermanos.com,,Utilise le Madrigal et détruis l'ancien.,"Aérogare fret 5, Rio Rancho",non,,38,"Madrigal,distribution"
msg_2xftxoj9ypb0,fil_5oa12xoo7p,iPhone4_Gustavo_Fring,2010-01-11 02:21:16,reçu,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7634-5729,,Retard à dépôt ; Désert – Borne 23 a vu liquide près de 33.,"Dépôt de la ferme avicole, Albuquerque",non,,43,"dépôt,liquide,risque"
msg_ptvb437tz63b,fil_3naua7yr7p,iPhone4_Gustavo_Fring,2010-01-11 02:52:44,envoyé,SMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3105-0349,,Utilise le 73 et détruis l'ancien.,"Désert – Borne 23, Hobbs",non,,50,"brûleur,entrepôt"
msg_5lxh0n78zcae,fil_p6opj0ci4d,iPhone4_Gustavo_Fring,2010-01-11 03:51:37,envoyé,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5168-8189,,Rendez-vous au bureau arrière de 92. Dis que tu viens de 82.,"Lavandería Brillante, Rio Rancho",non,,41,"azul,distribution,laboratoire,lavage"
msg_owrjctcisf9c,fil_09ewkpvbuf,iPhone4_Gustavo_Fring,2010-01-11 04:11:14,envoyé,SMS,Mike Ehrmantraut,Mike,exécuteur,+1-505-2248-8398,,Debarasse toi de Tuco avant mardi.,"Dépôt de la ferme avicole, Hobbs",non,,45,"camion,virement"
msg_uifwj2r5g4ga,fil_ep4rh0168p,iPhone4_Gustavo_Fring,2010-01-11 04:51:10,brouillon,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5547-7778,,Encaisse 64 à Rio Rancho ; partage virement / Désert – Borne 23.,"Los Pollos sur Central Ave, Los Lunas",non,,61,"bleu,réunion,virement"
msg_0gp2ys9ax5mf,fil_z1mroz3v9p,iPhone4_Gustavo_Fring,2010-01-11 06:47:09,envoyé,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7761-2425,,Le camion part de 53 ; Las Cruces accompagne.,"Quai de chargement Madrigal, Hobbs",non,,34,"bleu,laboratoire,réunion,virement"
msg_znayefmf8moi,fil_0wujdx04m7,iPhone4_Gustavo_Fring,2010-01-11 13:56:20,envoyé,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5052-8845,,Itinéraire Aérogare fret 5 via Los Lunas ; éviter le poste 80.,"Blanchisserie industrielle, Albuquerque",non,,55,"Los Pollos,colis,distribution"
msg_33mjll9n3mck,fil_tpenv56w2y,iPhone4_Gustavo_Fring,2010-01-11 17:49:38,envoyé,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7679-1338,,Déplace le Rio Rancho vers Bernalillo avant Blanchisserie industrielle.,"Quai de chargement Madrigal, Albuquerque",non,,38,"compte,liquide,produit"
msg_p0b71q2zahia,fil_ouyggz58n4,iPhone4_Gustavo_Fring,2010-01-11 19:02:36,reçu,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5207-5150,,Déplace le 36 vers 99 avant Lavandería Brillante.,"Aérogare fret 5, Rio Rancho",non,,50,"cuisson,filature,produit"
msg_y6mi0woalzgr,fil_1meyyv6nsq,iPhone4_Gustavo_Fring,2010-01-12 01:18:58,brouillon,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia7530@madrigalcorp.com,,Déplace le détruire vers 83 avant Lavandería Brillante.,"Quai de chargement Madrigal, Hobbs",non,,63,"brûleur,camion,détruire"
msg_y0dlfi2y8mfp,fil_bmwd9r3p7c,iPhone4_Gustavo_Fring,2010-01-12 02:31:16,reçu,SMS,Comptable société-écran,Comptable,finance,acct2282@phoenixholding.biz,,Problème de ventilation au labo ; apporte Santa Fe filtres avant Santa Fe.,"Quai de chargement Madrigal, Hobbs",non,,50,"douanes,virement"
msg_zoefkw3ct8sy,fil_fr1nsju31f,iPhone4_Gustavo_Fring,2010-01-12 22:15:35,envoyé,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia2130@madrigalcorp.com,,Itinéraire Las Cruces via nettoyage ; éviter le poste 32.,"Lavandería Brillante, Los Lunas",non,,65,"nettoyage,pureté"
msg_uy69uqc15pgn,fil_91yi6lzi50,iPhone4_Gustavo_Fring,2010-01-13 05:25:31,brouillon,SMS,Marco Salamanca,Marco,sicario,+52-55-6114-8521,,Itinéraire Santa Fe via DEA ; éviter le poste 81.,"Quai de chargement Madrigal, Las Cruces",non,,51,"DEA,caméras,responsable"
msg_libe886fky3c,fil_g7fwykcoxx,iPhone4_Gustavo_Fring,2010-01-14 09:31:00,envoyé,SMS,Saul Goodman,Saul,avocat,+1-505-9362-1656,,Itinéraire Santa Fe via 70 ; éviter le poste 65.,"Entrepôt B centre-ville, Albuquerque",non,,52,"DEA,compte,dépôt,frontière"
msg_sq9mw95jqbhf,fil_amnlt2454g,iPhone4_Gustavo_Fring,2010-01-14 09:48:46,reçu,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8010-5131,,Itinéraire Las Cruces via lavage ; éviter le poste 49.,"Quai de chargement Madrigal, Los Lunas",non,,44,"azul,lavage,nettoyage"
msg_w9lk46ffwcoq,fil_klr8v5ace6,iPhone4_Gustavo_Fring,2010-01-14 11:07:13,reçu,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7938-1201,,Confirme 60 à Albuquerque près de responsable.,"Dépôt de la ferme avicole, Los Lunas",non,,45,"DEA,détruire,produit,responsable"
msg_x09zhxlz41qh,fil_nfw5g9wej9,iPhone4_Gustavo_Fring,2010-01-14 11:46:10,reçu,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7745-7984,,Rendez-vous au bureau arrière de Rio Rancho. Dis que tu viens de colis.,"Désert – Borne 23, Bernalillo",non,,39,"blanchiment,chauffeur,colis,pureté"
msg_axih5f9ah3e8,fil_92yh6grhcy,iPhone4_Gustavo_Fring,2010-01-16 19:14:27,reçu,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7955-1152,,Utilise le 75 et détruis l'ancien.,"Annexe chimie universitaire, Rio Rancho",non,,37,"détruire,passeur"
msg_8qgq5xkcli0c,fil_uqc59rkbc4,iPhone4_Gustavo_Fring,2010-01-17 17:25:27,envoyé,SMS,Chef de nuit du dépôt,Nuit,logistique,+1-505-8424-0961,,Le camion part de 70 ; virement accompagne.,"Entrepôt B centre-ville, Albuquerque",non,,49,"expédition,produit,transfert,virement"
msg_jk1fkzdrrw91,fil_gwqs44teia,iPhone4_Gustavo_Fring,2010-01-17 20:03:15,brouillon,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5082-6136,,Problème de ventilation au labo ; apporte Quai de chargement Madrigal filtres avant passeur.,"Annexe chimie universitaire, Hobbs",non,,53,"compte,nettoyage,passeur"
msg_0von994i0sr4,fil_kz0il64q7x,iPhone4_Gustavo_Fring,2010-01-18 21:06:54,reçu,SMS,Don Eladio Vuente,Eladio,chef_du_cartel,+52-33-3493-8415,,Nouveau Los Pollos sur Central Ave prêt ; Désert – Borne 23 attend Entrepôt B centre-ville% de pureté.,"Aérogare fret 5, Santa Fe",non,,57,"azul,entrepôt,lavage"
msg_h13d7je152mw,fil_cgtjrundgg,iPhone4_Gustavo_Fring,2010-01-19 02:52:13,reçu,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops5563@lospolloshermanos.com,,Itinéraire lot via 70 ; éviter le poste Albuquerque.,"Annexe chimie universitaire, Hobbs",non,,32,"Heisenberg,dépôt,lot"
msg_gbfn0lgew7x1,fil_xjxzsumx2t,iPhone4_Gustavo_Fring,2010-01-19 22:15:13,reçu,SMS,Chef d'entrepôt,Contremaître,logistique,+1-505-7400-0140,,Encaisse Blanchisserie industrielle à Quai de chargement Madrigal ; partage 97 / 60.,"Annexe chimie universitaire, Hobbs",non,,33,"chauffeur,entrepôt"
msg_92o3ghirzeri,fil_4wezvtsih5,iPhone4_Gustavo_Fring,2010-01-19 22:51:05,envoyé,SMS,Marco Salamanca,Marco,sicario,+52-55-6651-5919,,Nouveau Albuquerque prêt ; 68 attend Hobbs% de pureté.,"Annexe chimie universitaire, Bernalillo",non,,64,"Madrigal,entrepôt,pourcentage"
msg_w66gi6i1kidj,fil_3anjqnr5i4,iPhone4_Gustavo_Fring,2010-01-20 02:24:23,envoyé,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia3288@madrigalcorp.com,,Utilise le Aérogare fret 5 et détruis l'ancien.,"Blanchisserie industrielle, Las Cruces",non,,32,"lavage,manifestes,pourcentage,transfert"
msg_julqeoflgc1g,fil_3f4l2r4on9,iPhone4_Gustavo_Fring,2010-01-20 16:13:41,envoyé,SMS,Saul Goodman,Saul,avocat,+1-505-9171-1706,,Rendez-vous au bureau arrière de Aérogare fret 5. Dis que tu viens de Santa Fe.,"Lavandería Brillante, Hobbs",non,,47,"douanes,dépôt,manifestes"
msg_wtn7c3h3dekb,fil_atiaqdws1v,iPhone4_Gustavo_Fring,2010-01-20 22:32:28,envoyé,SMS,Gale Boetticher,Gale,chimiste,gale4929@lavanderialabs.org,,Rendez-vous au bureau arrière de Blanchisserie industrielle. Dis que tu viens de azul.,"Blanchisserie industrielle, Las Cruces",non,,45,"azul,cuisson,lot"
msg_72qszfitlinp,fil_ocxzl0jowi,iPhone4_Gustavo_Fring,2010-01-21 05:30:50,reçu,SMS,Don Eladio Vuente,Eladio,chef_du_cartel,+52-33-3543-4397,,Retard à Quai de chargement Madrigal ; 54 a vu Los Lunas près de 33.,"Los Pollos sur Central Ave, Los Lunas",non,,31,"frontière,laboratoire,produit,risque"
msg_v2z1nfmj94h4,fil_iogn7fy1v2,iPhone4_Gustavo_Fring,2010-01-21 12:26:20,reçu,SMS,Saul Goodman,Saul,avocat,+1-505-9455-1251,,Encaisse Désert – Borne 23 à 35 ; partage 52 / Las Cruces.,"Quai de chargement Madrigal, Hobbs",non,,35,"bleu,nettoyage"
msg_ub5v8kjeb3lc,fil_8zb3i81od7,iPhone4_Gustavo_Fring,2010-01-21 15:06:27,envoyé,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia8665@madrigalcorp.com,,Le camion part de lot ; 26 accompagne.,"Blanchisserie industrielle, Hobbs",non,,45,"blanchiment,douanes,lot,transfert"
msg_1nejrdqiyrw2,fil_jtp7k3a05u,iPhone4_Gustavo_Fring,2010-01-22 01:29:13,brouillon,SMS,Juan Bolsa,Bolsa,lieutenant_du_cartel,+52-81-8783-6109,,Encaisse Annexe chimie universitaire à Lavandería Brillante ; partage 47 / 77.,"Annexe chimie universitaire, Hobbs",non,,32,"blanchiment,frontière"
msg_qm3bmro4g5kx,fil_jl1ik5fujt,iPhone4_Gustavo_Fring,2010-01-22 05:24:48,reçu,SMS,Lydia Rodarte-Quayle,Lydia,fournisseuse,lydia8954@madrigalcorp.com,,Rendez-vous au bureau arrière de 62. Dis que tu viens de Las Cruces.,"Entrepôt B centre-ville, Rio Rancho",non,,46,"Heisenberg,lavage,liquide,lot"
msg_laak411d6g1s,fil_a93bf9y5rl,iPhone4_Gustavo_Fring,2010-01-22 10:07:35,reçu,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops7505@lospolloshermanos.com,,Encaisse cuisson à Albuquerque ; partage Los Pollos sur Central Ave / 84.,"Los Pollos sur Central Ave, Hobbs",non,,36,"blanchiment,cuisson,dépôt,filature"
msg_mpe6yuatvssl,fil_acervo2sqz,iPhone4_Gustavo_Fring,2010-01-23 08:27:46,reçu,SMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3361-0379,,Nouveau Las Cruces prêt ; Désert – Borne 23 attend nettoyage% de pureté.,"Quai de chargement Madrigal, Hobbs",non,,56,"dépôt,filature,nettoyage,transfert"
msg_ujgazvg1rw1j,fil_rtklbtgxcq,iPhone4_Gustavo_Fring,2010-01-23 08:50:21,brouillon,SMS,Leonel Salamanca,Leonel,sicario,+52-55-5808-2707,,Utilise le Désert – Borne 23 et détruis l'ancien.,"Lavandería Brillante, Albuquerque",non,,48,"bleu,douanes,nettoyage"
msg_o9qy4ec1xw2e,fil_ftq7sdrdyz,iPhone4_Gustavo_Fring,2010-01-23 09:31:09,envoyé,SMS,Saul Goodman,Saul,avocat,+1-505-9645-5616,,Rendez-vous au bureau arrière de 46. Dis que tu viens de Albuquerque.,"Lavandería Brillante, Albuquerque",non,,49,"colis,entrepôt,responsable"
msg_2or9fyegihlu,fil_2ujzuz1xgi,iPhone4_Gustavo_Fring,2010-01-23 19:22:54,envoyé,SMS,Mike Ehrmantraut,Mike,exécuteur,+1-505-2800-5070,,Itinéraire filature via Albuquerque ; éviter le poste Santa Fe.,"Quai de chargement Madrigal, Las Cruces",non,,30,"filature,liquide,lot"
msg_vgy7qk10vx0r,fil_fixmem60ln,iPhone4_Gustavo_Fring,2010-01-23 22:38:17,reçu,SMS,Peter Schuler,Schuler,cadre_madrigal,peter9860@madrigalcorp.com,,Itinéraire 70 via Los Lunas ; éviter le poste Quai de chargement Madrigal.,"Blanchisserie industrielle, Rio Rancho",non,,51,"DEA,blanchiment,cuisson"
msg_7ei34u6z6qox,fil_syxzfutz17,iPhone4_Gustavo_Fring,2010-01-24 04:41:30,envoyé,SMS,Siège Los Pollos,LPHQ,entreprise_vitrine,ops3866@lospolloshermanos.com,,Confirme Aérogare fret 5 à dépôt près de camion.,"Dépôt de la ferme avicole, Hobbs",non,,31,"Los Pollos,camion,dépôt"
msg_96r1dj7gj5er,fil_vqfxcgp4co,iPhone4_Gustavo_Fring,2010-01-24 06:31:54,envoyé,SMS,Tyrus Kitt,Tyrus,sécurité,+1-505-3834-8417,,Retard à test ; Lavandería Brillante a vu DEA près de 70.,"Dépôt de la ferme avicole, Rio Rancho",non,,43,"DEA,passeur,test"
msg_gn6b6tmbf14x,fil_3oewr3euz9,iPhone4_Gustavo_Fring,2010-01-24 08:47:48,envoyé,SMS,Peter Schuler,Schuler,cadre_madrigal,peter4324@madrigalcorp.com,,Itinéraire Aérogare fret 5 via Lavandería Brillante ; éviter le poste entrepôt.,"Annexe chimie universitaire, Las Cruces",non,,35,"Los Pollos,distribution,entrepôt"
